fvs_variant,FOFEM,diam_class,mortality probability for Flame length 6 to 8,FOFEM Equation,DBH,HT,CRNRATIO,crnht,Latin name,,,
NC,CHLA,4,0.40,1,17.4,76.6,42.7,44,,,,
NC,CHLA,5,0.05,1,24.6,107.8,45.1,59,,,,
NC,CHLA,6,0.02,1,35.5,116.7,44.0,65,,,,
NC,CHLA,7,0.01,1,44.5,137.3,50.4,68,,,,
EC,CHNO,1,1.00,1,2.5,15.7,39.2,10,,,,
EC,CHNO,2,1.00,1,7.1,39.7,48.3,21,,,,
EC,CHNO,3,0.95,1,12.1,64.3,50.3,32,,,,
EC,CHNO,4,0.69,1,19.0,77.3,33.8,51,,,,
EC,CHNO,5,0.66,1,24.0,73.3,40.0,44,,,,
EC,CHNO,6,0.23,1,31.1,110.0,40.0,66,,,,
BM,JUOC,1,1.00,1,2.8,13.0,48.9,7,,,,
BM,JUOC,2,1.00,1,6.9,22.7,50.8,11,,,,
BM,JUOC,3,0.97,1,11.7,30.3,54.3,14,,,,
BM,JUOC,4,0.99,1,17.5,35.9,40.7,21,,,,
BM,JUOC,5,0.99,1,25.6,47.6,57.1,20,,,,
BM,JUOC,6,0.97,1,33.0,52.1,67.0,17,,,,
BM,JUOC,7,0.95,1,47.5,20.0,20.0,16,,,,
CA,JUOC,1,1.00,1,2.5,8.0,75.0,2,,,,
CA,JUOC,2,1.00,1,7.2,25.5,64.4,9,,,,
CA,JUOC,3,0.98,1,11.3,58.0,52.5,28,,,,
CA,JUOC,4,0.97,1,17.0,70.3,75.0,18,,,,
CI,JUOC,1,1.00,1,3,7.1,48,4,,,,
CI,JUOC,2,1.00,1,7,11.7,53,6,,,,
CI,JUOC,3,1.00,1,12,14.3,53,7,,,,
CI,JUOC,4,0.99,1,17,11.5,75,3,,,,
CI,JUOC,5,0.99,1,21,18.0,45,10,,,,
EM,JUOC,1,1.00,1,3,7.5,68,2,,,,
EM,JUOC,2,1.00,1,7,13.5,70,4,,,,
EM,JUOC,3,1.00,1,12,15.4,72,4,,,,
EM,JUOC,4,0.99,1,18,19.4,76,5,,,,
EM,JUOC,5,0.99,1,26,16.5,60,7,,,,
IE,JUOC,1,1.00,1,3,10.9,54,5,,,,
IE,JUOC,2,1.00,1,7,15.1,72,4,,,,
IE,JUOC,3,1.00,1,13,17.0,90,2,,,,
IE,JUOC,4,0.99,1,17,16.0,95,1,,,,
SO,JUOC,1,1.00,1,2.9,11.5,60.0,5,,,,
SO,JUOC,2,1.00,1,6.9,20.8,57.6,9,,,,
SO,JUOC,3,1.00,1,12.1,24.0,57.0,10,,,,
SO,JUOC,4,0.99,1,17.8,29.0,61.9,11,,,,
SO,JUOC,5,0.99,1,25.6,42.8,80.0,9,,,,
TT,JUOC,1,1.00,1,3,9.8,68,3,,,,
TT,JUOC,2,1.00,1,8,17.7,64,6,,,,
TT,JUOC,3,1.00,1,12,20.3,63,7,,,,
TT,JUOC,4,0.99,1,18,25.7,68,8,,,,
TT,JUOC,5,0.99,1,23,21.0,80,4,,,,
WS,JUOC,1,1.00,1,2.1,4.8,68.4,2,,,,
WS,JUOC,2,1.00,1,6.9,23.1,61.9,9,,,,
WS,JUOC,3,1.00,1,12.6,29.7,61.7,11,,,,
WS,JUOC,4,0.99,1,18.2,45.0,63.4,16,,,,
WS,JUOC,5,0.99,1,26.4,47.1,71.8,13,,,,
WS,JUOC,6,0.92,1,36.5,64.9,77.9,14,,,,
WS,JUOC,7,0.50,1,56.1,78.0,62.5,29,,,,
EC,LALY,2,1.00,1,7.3,43.0,50.0,22,,,,
BM,LAOC,1,0.80,14,2.5,21.2,61.3,8,Larix Occidentalis,,,
BM,LAOC,2,0.61,14,7.5,54.4,45.9,29,,,,
BM,LAOC,3,0.19,14,12.3,81.3,42.4,47,,,,
BM,LAOC,4,0.04,14,17.6,99.4,42.5,57,,,,
BM,LAOC,5,0.01,14,25.4,119.1,47.8,62,,,,
BM,LAOC,6,0.00,14,33.4,133.1,54.6,60,,,,
BM,LAOC,7,0.00,14,43.0,136.9,47.4,72,,,,
CI,LAOC,1,0.82,14,1,12.3,83,2,,,,
CI,LAOC,2,0.38,14,7,66.9,34,44,,,,
CI,LAOC,3,0.12,14,12,89.4,36,58,,,,
CI,LAOC,4,0.02,14,18,113.3,30,79,,,,
CI,LAOC,5,0.01,14,26,134.7,47,72,,,,
EC,LAOC,1,0.78,14,2.9,27.7,47.8,14,,,,
EC,LAOC,2,0.56,14,7.3,55.9,41.7,33,,,,
EC,LAOC,3,0.20,14,12.1,80.9,40.7,48,,,,
EC,LAOC,4,0.03,14,17.6,100.8,42.1,58,,,,
EC,LAOC,5,0.01,14,25.5,119.7,46.9,64,,,,
EC,LAOC,6,0.00,14,33.1,129.4,45.9,70,,,,
EC,LAOC,7,0.00,14,55.5,118.9,44.0,67,,,,
EM,LAOC,2,0.62,14,9,37.3,88,4,,,,
EM,LAOC,3,0.56,14,11,44.3,85,7,,,,
IE,LAOC,1,0.78,14,3,30.1,47,16,,,,
IE,LAOC,2,0.43,14,8,62.6,37,39,,,,
IE,LAOC,3,0.15,14,12,86.9,37,55,,,,
IE,LAOC,4,0.03,14,17,104.2,40,62,,,,
IE,LAOC,5,0.01,14,25,118.6,44,66,,,,
IE,LAOC,6,0.00,14,33,132.7,45,73,,,,
IE,LAOC,7,0.00,14,40,140.0,30,98,,,,
SO,LAOC,1,0.80,14,1.9,21.1,65.7,7,,,,
SO,LAOC,3,0.33,14,10.7,72.0,52.5,34,,,,
WC,LAOC,3,0.05,14,12.6,80.0,20.0,64,Larix occidentalis,,,
WC,LAOC,6,0.00,14,37.9,126.0,42.5,72,,,,
CA,LIDE3,1,1.00,1,2.2,16.3,45.3,9,,,,
CA,LIDE3,2,1.00,1,6.8,35.0,41.1,21,,,,
CA,LIDE3,3,0.92,1,12.1,51.8,43.8,29,,,,
CA,LIDE3,4,0.63,1,17.4,62.7,46.7,33,,,,
CA,LIDE3,5,0.21,1,23.3,87.5,42.5,50,,,,
CA,LIDE3,6,0.03,1,35.8,109.7,39.2,67,,,,
NC,LIDE3,1,1.00,1,2.6,21.1,38.3,13,,,,
NC,LIDE3,2,1.00,1,7.1,40.7,38.2,25,,,,
NC,LIDE3,3,0.69,1,12.0,57.7,40.8,34,,,,
NC,LIDE3,4,0.97,1,17.3,72.4,45.9,39,,,,
NC,LIDE3,5,0.32,1,24.5,86.7,50.3,43,,,,
NC,LIDE3,6,0.16,1,33.5,91.8,52.9,43,,,,
NC,LIDE3,7,0.03,1,51.2,107.3,45.3,59,,,,
WS,LIDE3,1,1.00,1,2.7,22.1,46.3,12,,,,
WS,LIDE3,2,1.00,1,7.1,40.5,45.6,22,,,,
WS,LIDE3,3,0.84,1,11.8,58.3,44.8,32,,,,
WS,LIDE3,4,0.73,1,17.4,71.8,56.6,31,,,,
WS,LIDE3,5,0.29,1,26.3,88.7,49.6,45,,,,
WS,LIDE3,6,0.04,1,33.7,104.3,36.7,66,,,,
BM,PIAL,1,1.00,17,2.0,9.7,47.7,5,Pinus albicalus,,,
BM,PIAL,3,0.99,17,12.2,32.0,75.0,8,,,,
CA,PIAL,4,0.99,17,19.6,57.0,95.0,3,Pinus albicaulus,,,
CI,PIAL,2,0.99,17,6,30.0,34,20,,,,
EC,PIAL,1,1.00,17,1.8,9.7,34.5,6,,,,
EC,PIAL,2,0.99,17,7.2,37.5,45.7,20,,,,
EC,PIAL,3,0.99,17,11.6,43.5,67.5,14,,,,
EM,PIAL,1,1.00,17,3,15.6,50,8,,,,
EM,PIAL,2,0.99,17,7,28.2,50,14,,,,
EM,PIAL,3,0.99,17,12,35.8,53,17,,,,
IE,PIAL,2,0.99,17,9,27.0,80,5,,,,
IE,PIAL,4,0.80,17,17,86.0,30,60,,,,
SO,PIAL,1,1.00,17,3.1,21.0,50.0,11,,,,
SO,PIAL,2,0.99,17,7.8,41.6,44.2,23,,,,
SO,PIAL,3,0.99,17,10.6,46.0,50.0,23,,,,
SO,PIAL,4,0.80,17,15.6,72.0,70.0,22,,,,
CA,PIAT,1,1.00,1,2.2,19.5,48.1,10,,,,
CA,PIAT,2,1.00,1,7.9,49.3,31.9,34,,,,
CA,PIAT,3,0.77,1,11.4,66.7,26.4,49,,,,
CA,PIAT,4,0.36,1,17.0,91.5,32.6,62,,,,
CA,PIAT,5,0.25,1,21.5,107.5,38.5,66,,,,
CA,PIAT,6,0.22,1,34.9,99.0,48.0,51,,,,
CA,PIAT,7,0.27,1,52.8,112.0,75.0,28,,,,
NC,PIAT,1,1.00,1,4.2,29.6,21.9,23,,,,
NC,PIAT,2,1.00,1,8.3,48.2,30.9,33,,,,
NC,PIAT,3,0.74,1,12.8,65.6,25.4,49,,,,
NC,PIAT,4,0.67,1,17.5,70.0,35.0,46,,,,
SO,PIAT,2,1.00,1,9.5,30.0,75.0,8,,,,
SO,PIAT,3,0.72,1,14.0,63.0,15.0,54,,,,
SO,PIAT,4,0.96,1,17.2,66.0,65.0,23,,,,
WS,PIAT,3,0.79,1,10.1,64.0,25.0,48,,,,
WS,PIAT,4,0.65,1,19.1,73.0,35.0,47,,,,
BM,PICO,1,1.00,17,2.6,19.2,64.6,7,Pinus contorta,,,
BM,PICO,2,0.99,17,7.1,46.0,49.0,23,,,,
BM,PICO,3,0.83,17,11.6,66.2,45.8,36,,,,
BM,PICO,4,0.46,17,16.6,81.3,43.1,46,,,,
BM,PICO,5,0.29,17,25.3,96.2,51.7,47,,,,
CA,PICO,1,1.00,17,3.2,20.5,51.0,10,Pinus contorta,,,
CA,PICO,2,0.99,17,6.7,38.5,41.3,23,,,,
CA,PICO,3,0.68,17,11.9,69.7,41.4,41,,,,
CA,PICO,4,0.71,17,18.5,67.5,43.3,38,,,,
CA,PICO,5,0.64,17,26.6,81.3,62.5,30,,,,
CA,PICO,6,0.59,17,31.3,81.0,60.0,32,,,,
CI,PICO,1,1.00,17,3,23.6,52,11,,,,
CI,PICO,2,0.99,17,7,46.4,47,25,,,,
CI,PICO,3,0.84,17,12,61.0,49,31,,,,
CI,PICO,4,0.67,17,17,80.6,46,44,,,,
EC,PICO,1,1.00,17,3.1,24.7,46.0,13,,,,
EC,PICO,2,0.95,17,7.4,51.3,42.4,30,,,,
EC,PICO,3,0.60,17,11.7,73.2,39.2,45,,,,
EC,PICO,4,0.40,17,16.9,86.9,41.1,51,,,,
EC,PICO,5,0.61,17,23.9,87.0,61.2,34,,,,
EC,PICO,7,0.69,17,40.4,55.0,50.0,28,,,,
EM,PICO,1,1.00,17,3,25.6,37,16,,,,
EM,PICO,2,0.99,17,7,47.3,38,30,,,,
EM,PICO,3,0.98,17,12,61.2,41,36,,,,
EM,PICO,4,0.81,17,17,64.0,59,26,,,,
IE,PICO,1,1.00,17,3,25.3,50,13,,,,
IE,PICO,2,0.90,17,7,54.8,38,34,,,,
IE,PICO,3,0.58,17,12,76.2,36,49,,,,
IE,PICO,4,0.39,17,17,88.5,43,51,,,,
IE,PICO,5,0.32,17,23,93.5,50,47,,,,
NC,PICO,1,0.99,17,3.7,32.3,34.1,21,,,,
NC,PICO,2,0.99,17,6.2,40.0,38.9,24,,,,
NC,PICO,3,0.99,17,11.0,48.0,65.0,17,,,,
SO,PICO,1,1.00,17,2.6,18.0,56.6,8,,,,
SO,PICO,2,0.99,17,7.1,45.2,51.1,22,,,,
SO,PICO,3,0.83,17,11.9,66.2,46.0,36,,,,
SO,PICO,4,0.76,17,16.8,76.1,52.7,36,,,,
SO,PICO,5,0.37,17,23.5,87.4,48.9,45,,,,
SO,PICO,6,0.18,17,31.1,120.0,50.0,60,,,,
TT,PICO,1,1.00,17,3,18.8,58,8,,,,
TT,PICO,2,0.99,17,7,41.3,52,20,,,,
TT,PICO,3,0.90,17,11,53.9,58,23,,,,
TT,PICO,4,0.69,17,17,69.3,65,24,,,,
WC,PICO,1,1.00,17,3.0,14.4,59.2,6,,,,
WC,PICO,2,0.99,17,7.4,43.8,56.7,19,,,,
WC,PICO,3,0.60,17,12.5,73.0,44.0,41,,,,
WC,PICO,4,0.38,17,17.7,90.3,41.8,53,,,,
WS,PICO,1,1.00,17,1.7,7.3,85.8,1,,,,
WS,PICO,2,0.99,17,6.9,37.5,49.0,19,,,,
WS,PICO,3,0.87,17,12.6,62.5,56.0,28,,,,
WS,PICO,4,0.79,17,17.1,73.3,47.9,38,,,,
WS,PICO,5,0.27,17,26.1,101.9,52.2,49,,,,
WS,PICO,6,0.20,17,34.7,104.3,59.2,43,,,,
BM,PIEN,1,0.99,15,2.5,15.0,71.5,4,,,,
BM,PIEN,2,0.99,15,7.3,41.1,63.6,15,,,,
BM,PIEN,3,0.97,15,12.2,68.1,63.0,25,,,,
BM,PIEN,4,0.85,15,17.8,93.0,60.5,37,,,,
BM,PIEN,5,0.84,15,25.4,114.1,65.7,39,,,,
BM,PIEN,6,0.75,15,33.8,131.2,65.9,45,,,,
BM,PIEN,7,0.87,15,42.5,132.8,76.3,32,,,,
CA,PIEN,1,0.99,15,5.0,35.0,37.0,22,Picea Engelmannii,,,
CA,PIEN,2,0.99,15,5.8,42.4,46.8,23,,,,
CA,PIEN,6,0.72,15,30.2,99.0,50.0,50,,,,
CI,PIEN,1,0.99,15,3,18.1,61,7,,,,
CI,PIEN,2,0.99,15,8,47.5,59,20,,,,
CI,PIEN,3,0.96,15,12,72.6,62,27,,,,
CI,PIEN,4,0.93,15,18,91.4,65,32,,,,
CI,PIEN,5,0.87,15,23,108.6,71,31,,,,
CI,PIEN,6,0.87,15,31,130.0,75,33,,,,
EC,PIEN,1,0.99,15,2.5,16.7,53.0,8,,,,
EC,PIEN,2,0.99,15,7.2,46.7,55.3,21,,,,
EC,PIEN,3,0.95,15,12.1,74.8,55.3,33,,,,
EC,PIEN,4,0.84,15,17.6,94.7,57.6,40,,,,
EC,PIEN,5,0.71,15,25.4,115.4,61.4,44,,,,
EC,PIEN,6,0.73,15,33.4,135.7,67.9,44,,,,
EC,PIEN,7,0.84,15,43.4,143.0,76.8,33,,,,
EM,PIEN,1,0.99,15,3,16.9,54,8,,,,
EM,PIEN,2,0.99,15,7,37.6,65,13,,,,
EM,PIEN,3,0.99,15,12,53.7,75,14,,,,
EM,PIEN,4,0.98,15,17,78.3,75,20,,,,
IE,PIEN,1,0.99,15,3,20.5,57,9,,,,
IE,PIEN,2,0.99,15,7,47.1,59,19,,,,
IE,PIEN,3,0.96,15,12,72.6,59,30,,,,
IE,PIEN,4,0.85,15,17,93.0,61,37,,,,
IE,PIEN,5,0.71,15,25,115.5,65,41,,,,
IE,PIEN,6,0.75,15,34,131.1,75,33,,,,
NC,PIEN,1,0.99,15,1.1,8.0,75.0,2,,,,
NC,PIEN,2,0.99,15,6.9,29.3,68.3,9,,,,
NC,PIEN,5,0.92,15,27.2,82.4,63.6,30,,,,
NC,PIEN,6,0.87,15,35.0,107.0,70.0,32,,,,
SO,PIEN,1,0.99,15,2.8,15.2,39.3,9,,,,
SO,PIEN,2,0.99,15,7.1,43.0,51.1,21,,,,
SO,PIEN,3,0.96,15,11.9,72.1,57.4,31,,,,
SO,PIEN,4,0.73,15,17.5,94.3,54.4,43,,,,
SO,PIEN,5,0.72,15,25.4,111.6,64.6,39,,,,
SO,PIEN,6,0.66,15,32.0,133.5,62.5,50,,,,
TT,PIEN,2,0.99,15,6,31.0,85,5,,,,
EM,PIFL,1,1.00,1,3,12.4,51,6,,,,
EM,PIFL,2,1.00,1,7,25.5,41,15,,,,
EM,PIFL,3,1.00,1,11,31.9,44,18,,,,
EM,PIFL,5,0.99,1,22,32.0,40,19,,,,
TT,PIFL,1,1.00,1,4,20.8,51,10,,,,
TT,PIFL,2,1.00,1,7,28.1,63,10,,,,
TT,PIFL,3,0.96,1,13,64.0,63,24,,,,
TT,PIFL,4,0.99,1,17,48.3,58,20,,,,
TT,PIFL,5,0.96,1,25,48.0,30,34,,,,
CI,PIGL,1,1.00,3,5,20.0,15,17,Picua glauca,,,
CI,PIGL,2,1.00,3,7,23.9,60,10,,,,
CI,PIGL,3,1.00,3,12,30.5,58,13,,,,
CI,PIGL,4,1.00,3,15,35.0,15,30,,,,
CA,PIJE,1,0.80,19,3.2,16.4,47.5,9,Pinus jeffreyi,,,
CA,PIJE,2,0.80,19,7.3,33.3,47.7,17,,,,
CA,PIJE,3,0.71,19,12.3,50.3,49.6,25,,,,
CA,PIJE,4,0.38,19,18.3,73.1,47.6,38,,,,
CA,PIJE,5,0.10,19,26.2,89.3,54.3,41,,,,
CA,PIJE,6,0.06,19,33.3,109.0,48.0,57,,,,
CA,PIJE,7,0.14,19,47.4,127.7,48.4,66,,,,
NC,PIJE,1,0.80,19,1.9,10.6,25.0,8,,,,
NC,PIJE,2,0.80,19,7.3,34.4,48.6,18,,,,
NC,PIJE,3,0.43,19,12.5,55.2,51.7,27,,,,
NC,PIJE,4,0.52,19,16.9,63.1,62.5,24,,,,
NC,PIJE,5,0.07,19,25.6,97.0,36.5,62,,,,
NC,PIJE,6,0.06,19,35.8,118.3,39.7,71,,,,
NC,PIJE,7,0.19,19,47.0,141.8,48.8,73,,,,
SO,PIJE,1,0.80,19,3.4,16.3,48.5,8,,,,
SO,PIJE,2,0.80,19,7.4,31.2,51.2,15,,,,
SO,PIJE,3,0.77,19,12.4,47.2,54.6,21,,,,
SO,PIJE,4,0.52,19,17.3,63.9,58.2,27,,,,
SO,PIJE,5,0.28,19,25.2,83.7,57.6,36,,,,
SO,PIJE,6,0.80,19,34.7,100.7,61.1,39,,,,
SO,PIJE,7,0.06,19,41.5,122.0,48.3,63,,,,
WC,PIJE,2,0.80,19,10.0,42.0,15.0,36,,,,
WC,PIJE,3,0.58,19,12.5,62.3,23.0,48,,,,
WC,PIJE,4,0.07,19,18.3,86.5,31.5,59,,,,
WC,PIJE,5,0.06,19,24.4,105.0,30.0,74,,,,
WS,PIJE,1,0.80,19,3.1,15.4,41.3,9,,,,
WS,PIJE,2,0.80,19,7.2,29.1,49.3,15,,,,
WS,PIJE,3,0.77,19,12.2,47.7,48.9,24,,,,
WS,PIJE,4,0.50,19,18.0,65.3,56.8,28,,,,
WS,PIJE,5,0.18,19,25.9,86.6,51.9,42,,,,
WS,PIJE,6,0.08,19,34.6,103.7,50.8,51,,,,
WS,PIJE,7,0.06,19,46.4,126.3,51.2,62,,,,
BM,PILA,1,1.00,18,3.7,13.0,50.0,7,,,,
CA,PILA,1,1.00,18,2.6,16.2,47.6,8,Pinus lambertiana,,,
CA,PILA,2,1.00,18,7.4,39.0,50.9,19,,,,
CA,PILA,3,0.70,18,12.1,59.7,51.6,29,,,,
CA,PILA,4,0.47,18,17.8,78.2,49.8,39,,,,
CA,PILA,5,0.14,18,26.3,104.4,49.3,53,,,,
CA,PILA,6,0.12,18,34.1,122.3,47.9,64,,,,
CA,PILA,7,0.11,18,47.2,148.6,46.0,80,,,,
NC,PILA,1,1.00,18,2.5,15.8,60.6,6,,,,
NC,PILA,2,1.00,18,7.1,36.6,44.1,20,,,,
NC,PILA,3,0.81,18,12.1,52.1,41.8,30,,,,
NC,PILA,4,0.51,18,18.1,76.0,52.1,36,,,,
NC,PILA,5,0.11,18,26.4,106.7,44.9,59,,,,
NC,PILA,6,0.12,18,34.0,121.8,50.0,61,,,,
NC,PILA,7,0.11,18,48.1,155.1,42.4,89,,,,
SO,PILA,1,1.00,18,3.1,17.1,57.3,7,,,,
SO,PILA,2,1.00,18,7.4,36.3,62.4,14,,,,
SO,PILA,3,0.91,18,11.7,54.9,62.0,21,,,,
SO,PILA,4,0.56,18,17.7,76.0,61.9,29,,,,
SO,PILA,5,0.28,18,25.5,95.4,57.6,40,,,,
SO,PILA,6,0.16,18,34.9,112.7,59.7,45,,,,
SO,PILA,7,0.13,18,46.8,129.4,56.1,57,,,,
WC,PILA,6,0.12,18,35.9,121.0,45.0,67,,,,
WC,PILA,7,0.11,18,49.1,127.0,45.0,70,,,,
WS,PILA,1,1.00,18,2.6,13.5,53.8,6,,,,
WS,PILA,2,1.00,18,7.4,35.9,51.9,17,,,,
WS,PILA,3,0.78,18,12.3,56.0,54.3,26,,,,
WS,PILA,4,0.46,18,17.9,79.1,50.9,39,,,,
WS,PILA,5,0.15,18,26.2,103.0,49.3,52,,,,
WS,PILA,6,0.12,18,34.1,122.1,50.2,61,,,,
WS,PILA,7,0.11,18,48.4,148.5,52.1,71,,,,
BM,PIMO3,1,1.00,1,1.1,7.5,92.5,1,,,,
BM,PIMO3,3,0.65,1,12.9,87.0,35.0,57,,,,
BM,PIMO3,4,0.45,1,17.7,110.0,55.0,50,,,,
BM,PIMO3,5,0.14,1,25.6,131.0,50.0,66,,,,
CA,PIMO3,1,1.00,1,2.4,15.7,48.3,8,,,,
CA,PIMO3,2,1.00,1,6.9,35.1,54.6,16,,,,
CA,PIMO3,3,0.99,1,11.9,55.4,56.3,24,,,,
CA,PIMO3,4,0.60,1,17.7,82.1,51.3,40,,,,
CA,PIMO3,5,0.56,1,25.6,76.4,48.1,40,,,,
CA,PIMO3,6,0.13,1,32.8,106.1,47.2,56,,,,
CA,PIMO3,7,0.05,1,42.3,140.0,45.0,77,,,,
EC,PIMO3,1,1.00,1,2.4,15.9,65.2,6,,,,
EC,PIMO3,2,1.00,1,7.2,46.7,55.2,21,,,,
EC,PIMO3,3,0.77,1,11.8,75.0,52.4,36,,,,
EC,PIMO3,4,0.41,1,17.4,104.3,52.3,50,,,,
EC,PIMO3,5,0.15,1,25.9,122.7,48.4,63,,,,
EC,PIMO3,6,0.08,1,33.6,140.7,46.4,75,,,,
EC,PIMO3,7,0.11,1,51.5,160.0,85.0,24,,,,
IE,PIMO3,1,1.00,1,2,17.0,60,7,,,,
IE,PIMO3,2,1.00,1,7,48.7,55,22,,,,
IE,PIMO3,3,0.74,1,12,77.7,54,36,,,,
IE,PIMO3,4,0.41,1,18,102.6,52,49,,,,
IE,PIMO3,5,0.19,1,26,125.9,60,50,,,,
IE,PIMO3,6,0.08,1,33,159.0,40,95,,,,
NC,PIMO3,1,1.00,1,1.6,9.8,47.6,5,,,,
NC,PIMO3,2,1.00,1,6.9,33.8,42.9,19,,,,
NC,PIMO3,3,0.83,1,11.4,55.8,29.2,40,,,,
NC,PIMO3,5,0.38,1,28.2,78.0,32.5,53,,,,
SO,PIMO3,1,1.00,1,2.4,13.9,47.7,7,,,,
SO,PIMO3,2,1.00,1,7.5,44.5,56.9,19,,,,
SO,PIMO3,3,0.95,1,12.2,64.2,58.8,26,,,,
SO,PIMO3,4,0.81,1,18.0,81.2,67.5,26,,,,
SO,PIMO3,5,0.32,1,25.6,106.7,59.5,43,,,,
SO,PIMO3,6,0.10,1,33.2,116.1,53.9,53,,,,
SO,PIMO3,7,0.10,1,45.0,112.5,62.5,42,,,,
WC,PIMO3,3,0.99,1,12.5,32.0,40.0,19,,,,
WC,PIMO3,5,0.17,1,23.7,125.3,45.7,68,,,,
WC,PIMO3,6,0.09,1,32.2,138.0,40.0,83,,,,
WS,PIMO3,2,1.00,1,7.9,31.4,53.8,15,,,,
WS,PIMO3,3,0.99,1,13.2,51.1,49.2,26,,,,
WS,PIMO3,4,0.96,1,18.6,65.8,84.0,11,,,,
WS,PIMO3,5,0.69,1,27.6,88.8,75.0,22,,,,
WS,PIMO3,6,0.31,1,34.8,106.8,68.6,34,,,,
WS,PIMO3,7,0.17,1,47.5,111.8,70.0,34,,,,
BM,PIPO,1,0.80,19,2.9,15.1,56.0,7,,,,
BM,PIPO,2,0.80,19,7.3,34.3,55.1,15,,,,
BM,PIPO,3,0.58,19,12.2,55.5,53.5,26,,,,
BM,PIPO,4,0.37,19,17.6,74.4,52.8,35,,,,
BM,PIPO,5,0.09,19,25.8,99.9,51.6,48,,,,
BM,PIPO,6,0.07,19,33.3,116.0,53.3,54,,,,
BM,PIPO,7,0.07,19,43.9,130.8,56.7,57,,,,
CA,PIPO,1,0.80,19,3.0,18.5,42.0,11,Pinus ponderosa,,,
CA,PIPO,2,0.80,19,7.1,39.2,45.5,21,,,,
CA,PIPO,3,0.48,19,12.4,61.9,46.3,33,,,,
CA,PIPO,4,0.19,19,17.9,84.8,46.8,45,,,,
CA,PIPO,5,0.07,19,25.6,106.8,49.2,54,,,,
CA,PIPO,6,0.06,19,33.9,128.9,48.3,67,,,,
CA,PIPO,7,0.06,19,45.7,152.8,47.7,80,,,,
CI,PIPO,1,0.80,19,3,13.6,57,6,,,,
CI,PIPO,2,0.80,19,8,34.6,54,16,,,,
CI,PIPO,3,0.54,19,12,57.5,52,27,,,,
CI,PIPO,4,0.34,19,17,76.5,53,36,,,,
CI,PIPO,5,0.09,19,24,97.5,54,45,,,,
CI,PIPO,6,0.06,19,34,121.1,54,56,,,,
CI,PIPO,7,0.06,19,43,137.0,44,77,,,,
EC,PIPO,1,0.80,19,2.9,17.2,46.7,9,,,,
EC,PIPO,2,0.80,19,7.4,37.5,47.9,20,,,,
EC,PIPO,3,0.51,19,12.3,59.7,46.3,32,,,,
EC,PIPO,4,0.30,19,17.5,78.0,47.7,41,,,,
EC,PIPO,5,0.08,19,25.8,100.8,47.5,53,,,,
EC,PIPO,6,0.07,19,33.6,115.9,47.8,60,,,,
EC,PIPO,7,0.06,19,43.8,131.2,48.1,68,,,,
EM,PIPO,1,0.80,19,3,15.2,39,9,,,,
EM,PIPO,2,0.80,19,8,34.8,48,18,,,,
EM,PIPO,3,0.68,19,13,51.9,48,27,,,,
EM,PIPO,4,0.46,19,17,65.4,50,33,,,,
EM,PIPO,5,0.36,19,23,75.0,49,39,,,,
IE,PIPO,1,0.80,19,3,18.1,43,10,,,,
IE,PIPO,2,0.80,19,7,40.2,47,21,,,,
IE,PIPO,3,0.48,19,12,61.7,46,33,,,,
IE,PIPO,4,0.25,19,18,81.0,49,41,,,,
IE,PIPO,5,0.08,19,25,100.8,52,48,,,,
IE,PIPO,6,0.07,19,33,116.5,53,55,,,,
IE,PIPO,7,0.06,19,42,160.5,53,76,,,,
NC,PIPO,1,0.80,19,3.3,17.4,48.7,9,,,,
NC,PIPO,2,0.80,19,7.2,40.6,45.1,22,,,,
NC,PIPO,3,0.56,19,12.4,56.8,44.8,31,,,,
NC,PIPO,4,0.20,19,17.3,84.8,45.3,46,,,,
NC,PIPO,5,0.07,19,25.5,107.6,46.0,58,,,,
NC,PIPO,6,0.06,19,34.0,127.5,41.7,74,,,,
NC,PIPO,7,0.06,19,44.3,157.8,44.5,88,,,,
SO,PIPO,1,0.80,19,2.9,15.9,49.7,8,,,,
SO,PIPO,2,0.80,19,7.3,35.7,51.8,17,,,,
SO,PIPO,3,0.56,19,12.3,56.1,52.9,26,,,,
SO,PIPO,4,0.38,19,17.6,73.9,53.5,34,,,,
SO,PIPO,5,0.13,19,25.9,97.1,52.0,47,,,,
SO,PIPO,6,0.07,19,34.0,115.8,54.7,52,,,,
SO,PIPO,7,0.06,19,44.4,125.1,53.2,59,,,,
WC,PIPO,1,0.80,19,3.0,19.0,48.5,10,,,,
WC,PIPO,2,0.80,19,7.5,37.9,47.1,20,,,,
WC,PIPO,3,0.63,19,11.5,53.2,46.9,28,,,,
WC,PIPO,4,0.19,19,18.2,84.8,45.3,46,,,,
WC,PIPO,5,0.07,19,23.9,99.5,36.1,64,,,,
WC,PIPO,6,0.06,19,37.1,137.7,46.0,74,,,,
WC,PIPO,7,0.06,19,52.2,135.0,45.0,74,,,,
WS,PIPO,1,0.80,19,2.8,15.9,49.2,8,,,,
WS,PIPO,2,0.80,19,7.3,37.5,48.6,19,,,,
WS,PIPO,3,0.48,19,12.4,61.4,49.3,31,,,,
WS,PIPO,4,0.28,19,17.7,79.9,49.4,40,,,,
WS,PIPO,5,0.07,19,25.9,112.4,48.7,58,,,,
WS,PIPO,6,0.06,19,34.0,132.7,49.7,67,,,,
